Date,Count
31-Aug-16,5
31-Aug-16,3
31-Aug-16,4
31-Aug-16,10
31-Aug-16,57
31-Aug-16,59
31-Aug-16,17
31-Aug-16,653
31-Aug-16,8
31-Aug-16,25
31-Aug-16,3
31-Aug-16,42
31-Aug-16,4
31-Aug-16,1
31-Aug-16,1
31-Aug-16,23
31-Aug-16,31
31-Aug-16,19
31-Aug-16,1
31-Aug-16,4
31-Aug-16,2
31-Aug-16,2
31-Aug-16,15
31-Aug-16,1
31-Aug-16,189
31-Aug-16,3
31-Aug-16,5
31-Aug-16,2
31-Aug-16,8
31-Aug-16,2
31-Aug-16,2400
31-Aug-16,5
31-Aug-16,1
31-Aug-16,2
31-Aug-16,12
31-Aug-16,40
31-Aug-16,1
31-Aug-16,92
31-Aug-16,69
31-Aug-16,1
31-Aug-16,1
31-Aug-16,3
31-Aug-16,4
31-Aug-16,7
31-Aug-16,360
31-Aug-16,54
31-Aug-16,20
31-Aug-16,4
31-Aug-16,2
31-Aug-16,1
31-Aug-16,4
31-Aug-16,2
31-Aug-16,17
31-Aug-16,1
31-Aug-16,7
31-Aug-16,1
31-Aug-16,4
31-Aug-16,858
31-Aug-16,225
31-Aug-16,13
31-Aug-16,3
31-Aug-16,35
31-Aug-16,3
31-Aug-16,74
31-Aug-16,21
31-Aug-16,1
31-Aug-16,35
31-Aug-16,12
31-Aug-16,770
31-Aug-16,2
31-Aug-16,168
31-Aug-16,75
31-Aug-16,122
31-Aug-16,50
31-Aug-16,4
31-Aug-16,1
31-Aug-16,361
31-Aug-16,106
31-Aug-16,720
31-Aug-16,360
31-Aug-16,1
31-Aug-16,1
31-Aug-16,10
31-Aug-16,44
31-Aug-16,342
31-Aug-16,40
31-Aug-16,13
31-Aug-16,2
31-Aug-16,1
31-Aug-16,71
31-Aug-16,8
31-Aug-16,5
31-Aug-16,3
31-Aug-16,24
30-Aug-16,1
30-Aug-16,75
30-Aug-16,25
30-Aug-16,1
30-Aug-16,1
30-Aug-16,25
30-Aug-16,2
30-Aug-16,1
30-Aug-16,67
30-Aug-16,15
30-Aug-16,17
30-Aug-16,2
30-Aug-16,24
30-Aug-16,190
30-Aug-16,35
30-Aug-16,3
30-Aug-16,1
30-Aug-16,2600
30-Aug-16,1
30-Aug-16,11
30-Aug-16,2
30-Aug-16,31
30-Aug-16,4
30-Aug-16,390
30-Aug-16,6
30-Aug-16,67
30-Aug-16,5
30-Aug-16,3
30-Aug-16,4
30-Aug-16,82
30-Aug-16,152
30-Aug-16,1
30-Aug-16,52
30-Aug-16,812
30-Aug-16,5
30-Aug-16,5
30-Aug-16,6
30-Aug-16,39
30-Aug-16,16
30-Aug-16,136
30-Aug-16,7
30-Aug-16,9
30-Aug-16,5
30-Aug-16,692
30-Aug-16,2
30-Aug-16,675
30-Aug-16,24
30-Aug-16,1
30-Aug-16,18
30-Aug-16,6
30-Aug-16,1
30-Aug-16,1
30-Aug-16,2
30-Aug-16,336
30-Aug-16,17
30-Aug-16,15
30-Aug-16,13
30-Aug-16,8
30-Aug-16,41
30-Aug-16,245
30-Aug-16,1
30-Aug-16,5
30-Aug-16,114
30-Aug-16,6
30-Aug-16,5
30-Aug-16,2
30-Aug-16,82
30-Aug-16,387
30-Aug-16,280
30-Aug-16,2
30-Aug-16,19
30-Aug-16,63
30-Aug-16,5
30-Aug-16,6
30-Aug-16,51
30-Aug-16,676
30-Aug-16,6
30-Aug-16,21
30-Aug-16,1
30-Aug-16,1
30-Aug-16,10
30-Aug-16,43
30-Aug-16,3
30-Aug-16,17
30-Aug-16,2
30-Aug-16,1
30-Aug-16,12
30-Aug-16,43
30-Aug-16,2
30-Aug-16,1
30-Aug-16,22
29-Aug-16,2
29-Aug-16,252
29-Aug-16,25
29-Aug-16,321
29-Aug-16,1
29-Aug-16,1
29-Aug-16,39
29-Aug-16,81
29-Aug-16,73
29-Aug-16,76
29-Aug-16,5
29-Aug-16,1
29-Aug-16,128
29-Aug-16,616
29-Aug-16,40
29-Aug-16,270
29-Aug-16,300
29-Aug-16,1
29-Aug-16,10
29-Aug-16,110
29-Aug-16,24
29-Aug-16,1
29-Aug-16,16
29-Aug-16,1
29-Aug-16,4
29-Aug-16,54
29-Aug-16,3
29-Aug-16,2
29-Aug-16,2
29-Aug-16,4
29-Aug-16,1
29-Aug-16,9
29-Aug-16,4
29-Aug-16,1
29-Aug-16,1
29-Aug-16,81
29-Aug-16,25
29-Aug-16,70
29-Aug-16,4
29-Aug-16,975
29-Aug-16,9
29-Aug-16,11
29-Aug-16,24
29-Aug-16,5
29-Aug-16,2
29-Aug-16,6
29-Aug-16,2
29-Aug-16,48
29-Aug-16,33
29-Aug-16,26
29-Aug-16,1
29-Aug-16,187
29-Aug-16,1
29-Aug-16,9
29-Aug-16,6
29-Aug-16,50
29-Aug-16,3
29-Aug-16,1
29-Aug-16,22
29-Aug-16,5
29-Aug-16,42
29-Aug-16,56
29-Aug-16,8
29-Aug-16,3
29-Aug-16,2
29-Aug-16,1
29-Aug-16,34
29-Aug-16,21
29-Aug-16,2
29-Aug-16,639
29-Aug-16,2704
29-Aug-16,2
29-Aug-16,4
29-Aug-16,2
29-Aug-16,193
29-Aug-16,6
29-Aug-16,689
29-Aug-16,27
29-Aug-16,1
29-Aug-16,2
29-Aug-16,5
29-Aug-16,9
29-Aug-16,11
29-Aug-16,5
29-Aug-16,1
29-Aug-16,1
29-Aug-16,1
29-Aug-16,30
29-Aug-16,4
29-Aug-16,10
29-Aug-16,253
29-Aug-16,2
29-Aug-16,22
28-Aug-16,66
28-Aug-16,17
28-Aug-16,1
28-Aug-16,5
28-Aug-16,47
28-Aug-16,33
28-Aug-16,20
28-Aug-16,754
28-Aug-16,42
28-Aug-16,8
28-Aug-16,2
28-Aug-16,4
28-Aug-16,1
28-Aug-16,82
28-Aug-16,22
28-Aug-16,26
28-Aug-16,756
28-Aug-16,1
28-Aug-16,5
28-Aug-16,2
28-Aug-16,8
28-Aug-16,71
28-Aug-16,165
28-Aug-16,206
28-Aug-16,2
28-Aug-16,49
28-Aug-16,3
28-Aug-16,2
28-Aug-16,37
28-Aug-16,62
28-Aug-16,3
28-Aug-16,6
28-Aug-16,257
28-Aug-16,6
28-Aug-16,324
28-Aug-16,2
28-Aug-16,23
28-Aug-16,4
28-Aug-16,49
28-Aug-16,1
28-Aug-16,1
28-Aug-16,11
28-Aug-16,101
28-Aug-16,2
28-Aug-16,2
28-Aug-16,4
28-Aug-16,3
28-Aug-16,15
28-Aug-16,736
28-Aug-16,44
28-Aug-16,1
28-Aug-16,67
28-Aug-16,21
28-Aug-16,2832
28-Aug-16,30
28-Aug-16,25
28-Aug-16,330
28-Aug-16,2
28-Aug-16,2
28-Aug-16,2
28-Aug-16,2
28-Aug-16,26
28-Aug-16,146
28-Aug-16,1
28-Aug-16,705
28-Aug-16,1
28-Aug-16,1
28-Aug-16,3
28-Aug-16,1
28-Aug-16,53
28-Aug-16,2
28-Aug-16,11
28-Aug-16,2
28-Aug-16,4
28-Aug-16,1
28-Aug-16,1
28-Aug-16,8
28-Aug-16,8
28-Aug-16,90
28-Aug-16,243
28-Aug-16,9
28-Aug-16,2
28-Aug-16,13
28-Aug-16,10
28-Aug-16,1
28-Aug-16,73
28-Aug-16,13
28-Aug-16,187
28-Aug-16,1
28-Aug-16,1
28-Aug-16,4
27-Aug-16,1
27-Aug-16,5
27-Aug-16,1
27-Aug-16,137
27-Aug-16,8
27-Aug-16,3
27-Aug-16,40
27-Aug-16,100
27-Aug-16,3
27-Aug-16,11
27-Aug-16,47
27-Aug-16,2
27-Aug-16,229
27-Aug-16,1
27-Aug-16,4
27-Aug-16,118
27-Aug-16,3
27-Aug-16,61
27-Aug-16,80
27-Aug-16,290
27-Aug-16,83
27-Aug-16,4
27-Aug-16,12
27-Aug-16,20
27-Aug-16,18
27-Aug-16,37
27-Aug-16,3
27-Aug-16,29
27-Aug-16,22
27-Aug-16,28
27-Aug-16,15
27-Aug-16,3
27-Aug-16,9
27-Aug-16,9
27-Aug-16,10
27-Aug-16,1
27-Aug-16,1
27-Aug-16,248
27-Aug-16,10
27-Aug-16,1
27-Aug-16,1
27-Aug-16,216
27-Aug-16,27
27-Aug-16,1
27-Aug-16,199
27-Aug-16,4
27-Aug-16,1
27-Aug-16,2744
27-Aug-16,5
27-Aug-16,1
27-Aug-16,8
27-Aug-16,5
27-Aug-16,37
27-Aug-16,1
27-Aug-16,2
27-Aug-16,10
27-Aug-16,1
27-Aug-16,71
27-Aug-16,73
27-Aug-16,672
27-Aug-16,1
27-Aug-16,37
27-Aug-16,31
27-Aug-16,1
27-Aug-16,6
27-Aug-16,26
27-Aug-16,5
27-Aug-16,60
27-Aug-16,6
27-Aug-16,1
27-Aug-16,2
27-Aug-16,1
27-Aug-16,2
27-Aug-16,960
27-Aug-16,441
27-Aug-16,4
27-Aug-16,7
